time,u_left,u_right
0,-2.5,2.5
0.02,-2.5,2.5
0.04,-2.5,2.5
0.06,-2.5,2.5
0.08,-2.5,2.5
0.1,-2.5,2.5
0.12,-2.5,2.5
0.14,-2.5,2.5
0.16,-2.5,2.5
0.18,-2.5,2.5
0.2,-2.5,2.5
0.22,-2.5,2.5
0.24,-2.5,2.5
0.26,-2.5,2.5
0.28,-2.5,2.5
0.3,-2.5,2.5
0.32,-2.5,2.5
0.34,-2.5,2.5
0.36,-2.5,2.5
0.38,-2.5,2.5
0.4,-2.5,2.5
0.42,-2.5,2.5
0.44,-2.5,2.5
0.46,-2.5,2.5
0.48,-2.5,2.5
0.5,-2.5,2.5
0.52,-2.5,2.5
0.54,-2.5,2.5
0.56,-2.5,2.5
0.58,-2.5,2.5
0.6,-2.5,2.5
0.62,-2.5,2.5
0.64,-2.5,2.5
0.66,-2.5,2.5
0.68,-2.5,2.5
0.7,-2.5,2.5
0.72,-2.5,2.5
0.74,-2.5,2.5
0.76,-2.5,2.5
0.78,-2.5,2.5
0.8,2.5,-2.5
0.82,2.5,-2.5
0.84,2.5,-2.5
0.86,2.5,-2.5
0.88,2.5,-2.5
0.9,-2.5,2.5
0.92,-2.5,2.5
0.94,-2.5,2.5
0.96,-2.5,2.5
0.98,-2.5,2.5
1,-2.5,2.5
1.02,-2.5,2.5
1.04,-2.5,2.5
1.06,-2.5,2.5
1.08,-2.5,2.5
1.1,2.5,-2.5
1.12,2.5,-2.5
1.14,2.5,-2.5
1.16,2.5,-2.5
1.18,2.5,-2.5
1.2,-2.5,2.5
1.22,-2.5,2.5
1.24,-2.5,2.5
1.26,-2.5,2.5
1.28,-2.5,2.5
1.3,-2.5,2.5
1.32,-2.5,2.5
1.34,-2.5,2.5
1.36,-2.5,2.5
1.38,-2.5,2.5
1.4,2.5,-2.5
1.42,2.5,-2.5
1.44,2.5,-2.5
1.46,2.5,-2.5
1.48,2.5,-2.5
1.5,2.5,-2.5
1.52,2.5,-2.5
1.54,2.5,-2.5
1.56,2.5,-2.5
1.58,2.5,-2.5
1.6,-2.5,2.5
1.62,-2.5,2.5
1.64,-2.5,2.5
1.66,-2.5,2.5
1.68,-2.5,2.5
1.7,-2.5,2.5
1.72,-2.5,2.5
1.74,-2.5,2.5
1.76,-2.5,2.5
1.78,-2.5,2.5
1.8,-2.5,2.5
1.82,-2.5,2.5
1.84,-2.5,2.5
1.86,-2.5,2.5
1.88,-2.5,2.5
1.9,-2.5,2.5
1.92,-2.5,2.5
1.94,-2.5,2.5
1.96,-2.5,2.5
1.98,-2.5,2.5
2,2.5,-2.5
2.02,2.5,-2.5
2.04,2.5,-2.5
2.06,2.5,-2.5
2.08,2.5,-2.5
2.1,2.5,-2.5
2.12,2.5,-2.5
2.14,2.5,-2.5
2.16,2.5,-2.5
2.18,2.5,-2.5
2.2,2.5,-2.5
2.22,2.5,-2.5
2.24,2.5,-2.5
2.26,2.5,-2.5
2.28,2.5,-2.5
2.3,-2.5,2.5
2.32,-2.5,2.5
